,Times,Total_S,Total_A,Total_B,Total_P,SA_Flux,AB_Flux,BP_Flux,fs,fa,fb,fp
714,71.3,0,75.97710903949277,258.2027219961843,121.27471441886846,0.0,5.306420531777255,1.9181742129915256,0.0,1.0,1.0,1.0
715,71.4,0,75.44689505657371,258.5411082590257,121.46654213894615,0.0,5.302139829190587,1.9182772007769229,0.0,1.0,1.0,1.0
716,71.5,0,74.91711410895738,258.8790512269521,121.65838011863612,0.0,5.297809476163242,1.918379796899632,0.0,1.0,1.0,1.0
717,71.60000000000001,0,74.38777124401146,259.2165458917135,121.85022831882061,0.0,5.293428649459121,1.9184820018449698,0.0,1.0,1.0,1.0
718,71.7,0,73.8588715931681,259.5535871609494,122.04208670042807,0.0,5.288996508433586,1.9185838160746223,0.0,1.0,1.0,1.0
719,71.8,0,73.33042037370868,259.8901698564062,122.2339552244307,0.0,5.284512194594232,1.9186852400263597,0.0,1.0,1.0,1.0
720,71.9,0,72.80242289059377,260.22628871210975,122.42583385184207,0.0,5.279974831149053,1.9187862741137423,0.0,1.0,1.0,1.0
721,72.0,0,72.2748845383396,260.56193837249134,122.61772254371465,0.0,5.275383522541634,1.9188869187258184,0.0,1.0,1.0,1.0
722,72.10000000000001,0,71.74781080294231,260.89711339046596,122.80962126113732,0.0,5.270737353972945,1.9189871742268114,0.0,1.0,1.0,1.0
723,72.2,0,71.22120726385138,261.2318082254613,123.0015299652329,0.0,5.266035390909326,1.9190870409557963,0.0,1.0,1.0,1.0
724,72.3,0,70.69507959599376,261.56601724139625,123.19344861715554,0.0,5.261276678576238,1.9191865192263657,0.0,1.0,1.0,1.0
725,72.4,0,70.16943357185002,261.89973470460734,123.38537717808816,0.0,5.256460241437337,1.9192856093262871,0.0,1.0,1.0,1.0
726,72.5,0,69.64427506358419,262.23295478172145,123.57731560923988,0.0,5.251585082658388,1.9193843115171465,0.0,1.0,1.0,1.0
727,72.60000000000001,0,69.11961004522863,262.56567153747363,123.76926387184328,0.0,5.24665018355558,1.919482626033982,0.0,1.0,1.0,1.0
728,72.7,0,68.59544459492585,262.8978789324679,123.96122192715177,0.0,5.241654503027744,1.9195805530849057,0.0,1.0,1.0,1.0
729,72.8,0,68.07178489722865,263.22957082088004,124.15318973643684,0.0,5.23659697697195,1.9196780928507142,0.0,1.0,1.0,1.0
730,72.9,0,67.54863724546045,263.5607409480998,124.34516726098529,0.0,5.231476517681999,1.9197752454844854,0.0,1.0,1.0,1.0
731,73.0,0,67.02600804413753,263.8913829483116,124.53715446209641,0.0,5.226292013229256,1.9198720111111638,0.0,1.0,1.0,1.0
732,73.10000000000001,0,66.503903811455,264.2214903420114,124.72915130107913,0.0,5.221042326825262,1.9199683898271314,0.0,1.0,1.0,1.0
733,73.2,0,65.98233118183845,264.551056533458,124.92115773924911,0.0,5.215726296165606,1.920064381699768,0.0,1.0,1.0,1.0
734,73.3,0,65.461296908563,264.88007480805675,125.1131737379258,0.0,5.210342732754409,1.9201599867669943,0.0,1.0,1.0,1.0
735,73.4,0,64.94080786644211,265.20853832967396,125.30519925842948,0.0,5.204890421208869,1.9202552050368027,0.0,1.0,1.0,1.0
736,73.5,0,64.42087105458779,265.5364401378796,125.49723426207817,0.0,5.1993681185432274,1.920350036486774,0.0,1.0,1.0,1.0
737,73.60000000000001,0,63.90149359924464,265.8637731451164,125.68927871018452,0.0,5.193774553431524,1.9204444810635772,0.0,1.0,1.0,1.0
738,73.7,0,63.38268275669979,266.190530133793,125.88133256405277,0.0,5.188108425448477,1.9205385386824558,0.0,1.0,1.0,1.0
739,73.8,0,62.86444591627101,266.5167037532991,126.07339578497545,0.0,5.182368404287835,1.9206322092266963,0.0,1.0,1.0,1.0
740,73.9,0,62.34679060337526,266.84228651694013,126.26546833423015,0.0,5.176553128957484,1.9207254925470825,0.0,1.0,1.0,1.0
741,74.0,0,61.8297244826802,267.16727079878905,126.45755017307629,0.0,5.170661206950612,1.9208183884613308,0.0,1.0,1.0,1.0
